key,en,te,hi,keywords,aisle,rack
amul-shrikhand-mango,Amul Shrikhand Mango,అముల్ శ్రీఖండ్ మెంగో,अमूल श्रीखंड मैंगो,"['shrikhand', 'mango', 'amul']",3,20
amul-shrikhand-saffron,Amul Shrikhand Saffron,అముల్ శ్రీఖండ్ కెసర,अमूल श्रीखंड केसर,"['shrikhand', 'saffron', 'kesar', 'amul']",3,21
amul-shrikhand-saffron-1,Amul Shrikhand Saffron,అముల్ శ్రీఖండ్ కెసర,अमूल श्रीखंड केसर,"['shrikhand', 'saffron', 'kesar', 'amul']",3,22
anand-banana-chips-salted-400g,Anand Banana Chips Salted 400g,అనంద బ్యానానా చిప్స్ సల్టెడ్ 400గ్రా,अनंद बैनाना चिप्स नमकीन 400ग्राम,"['anand', 'banana', 'chips', 'salted']",3,23
anand-bhog-andhra-murruku-5-99oz,Anand Bhog Andhra Murruku 5.99oz,అనంద భోగ్ ఆంధ్ర మురుకు 5.99ఔన్స్,अनंद भोग आंध्रा मुरुकु 5.99ऑन्स,"['anand', 'bhog', 'andhra', 'murruku']",3,24
anand-bhog-chennai-murukku-200g,Anand Bhog Chennai Murukku 200g,అనంద భోగ్ చెన్నై మురుక్కు 200గ్రా,अनंद भोग चेन्नई मुरुकु 200ग्राम,"['anand', 'bhog', 'chennai', 'murukku']",3,25
anand-bhogh-banana-chips-300-gm-s-snacks,Anand Bhogh Banana Chips 300gm S Snacks,అనంద భోఘ్ బ్యానానా చిప్స్ 300గ్రా ఎస్ స్నాక్స్,अनंद भोग बैनाना चिप्स 300ग्राम एस स्नैक्स,"['anand', 'bhogh', 'banana', 'chips', 'snacks']",3,26
anand-bhogh-dry-mix-sweets,Anand Bhogh Dry Mix Sweets,అనంద్ భోగ్ ద్రియ్ మిక్స్ స్వీట్స్,अनंद भोग ड्राई मिक्स स्वीट्स,anand bhogh dry mix sweets,3,27
anand-bhogh-lightly-salted-banana-chips-300g,Anand Bhogh Lightly Salted Banana Chips 300g,అనంద్ భోగ్ లైట్లీ సాల్టెడ్ బ్యానానా చిప్స్ 300గ్,अनंद भोग लाइटली साल्टेड बैनाना चिप्स 300ग्राम,anand bhogh banana chips lightly salted,3,28
anand-bhogh-spicy-chakri-200g,Anand Bhogh Spicy Chakri 200g,అనంద్ భోగ్ స్పైసీ చక్రి 200గ్,अनंद भोग स्पाइसी चक्री 200ग्राम,anand bhogh spicy chakri,3,29
anand-bhogh-thenkulai-200g,Anand Bhogh Thenkulai 200g,అనంద్ భోగ్ తెంకులై 200గ్,अनंद भोग ठेंकुलाई 200ग्राम,anand bhogh thenkulai,3,30
anand-bhujia,Anand Bhujia,అనంద్ భూజియా,अनंद भूजिया,anand bhujia,4,1
anand-bitter-gourd-chips,Anand Bitter Gourd Chips,అనంద కాకార చిప్స్,अनंद बिटर गourd चिप्स,"['bitter gourd chips', 'anand', 'snacks']",4,2
anand-bombay-mixture-400g,Anand Bombay Mixture 400g,అనంద బాంబే మిశ్రమం 400గ్రా,अनंद बॉम्बे मिश्रण 400ग्रा,"['bombay mixture', 'anand', 'snacks']",4,3
anand-boondi-masala,Anand Boondi Masala,అనంద బూంది మసాలా,अनंद बूंदी मसाला,"['boondi masala', 'anand', 'spices']",4,4
anand-curd-chilli,Anand Curd Chilli,అనంద పాల చిల్లి,अनंद दही चिल्ली,"['curd chilli', 'anand', 'chutneys']",4,5
anand-dry-whole-chilli-wrinkled,Anand Dry Whole Chilli Wrinkled,అనంద ద్రవ్య పూర్తి చిల్లి కుంటలు,अनंद सूखा पूरा चिल्ली कुंटल,"['dry whole chilli', 'wrinkled chilli', 'anand', 'spices']",4,6
anand-frynus-bhindi-cut,Anand Frynus Bhindi Cut,అనంద్ ఫ్రైనస్ భిండి కట్,अनंद फ्रायनस भिंडी कट,"bhindi, cut, frynus",4,7
anand-fryums-star-color,Anand Fryums Star Color,అనంద్ ఫ్రైమ్స్ స్టార్ కలర్,अनंद फ्राईम्स स्टार कलर,"fryums, star, color",4,8
anand-instant-rava-dosa-mix,Anand Instant Rava Dosa Mix,అనంద్ ఇన్‌స్టంట్ రవ దోస మిక్స్,अनंद इंस्टेंट रवा डोसा मिक्स,"rava, dosa, mix",4,9
anand-kachori,Anand Kachori,అనంద్ కచోరి,अनंद कचोरी,kachori,4,10
anand-kerala-mixture,Anand Kerala Mixture,అనంద్ కేరళ మిక్స్చర్,अनंद केरला मिक्सचर,"kerala, mixture",4,11
anand-muruku-mini,Anand Muruku Mini,249 అనంద మురుకు మీనీ,249 आनंद मुरुकु मिनी,"['muruku', '249 anand', 'mini']",4,12
anand-nelakadale-laddu,Anand Nelakadale Laddu,ఆనంద్ నెలకడలే లడ్డు,आनंद नेलकडले लड्डू,"['nelakadale laddu', 'anand laddu']",4,13
anand-nelakadle-chkki-bar,Anand Nelakadle Chikki Bar,ఆనంద్ నెలకడలే చిక్కీ బార్,आनंद नेलकडले चिक्की बार,"['nelakadle chikki bar', 'anand chikki']",4,14
anand-pappadam,Anand Pappadam,ఆనంద్ పప్పడం,आनंद पपडम,"['pappadam', 'anand pappadam']",4,15
anand-peanut-chikki,Anand Peanut Chikki,ఆనంద్ పెంట చిక్కీ,आनंद पीनट चिक्की,"['peanut chikki', 'anand peanut chikki']",4,16
anand-potato-chips-masala,Anand Potato Chips Masala,ఆనంద్ పాలకూర చిప్స్ మసాలా,आनंद आलू चिप्स मसाला,"['potato chips masala', 'anand potato chips']",4,17
anand-ragi-flour-regular,Anand Ragi Flour Regular,ఆనంద్ రాగి మిఠాయి పిండి,आनंद रागी आटा रेगुलर,"['ragi flour', 'anand', 'regular']",4,18
anand-sandige-garlic,Anand Sandige Garlic,ఆనంద్ సందీగె గార్లిక్,आनंद संदिगे गार्लिक,"['sandige', 'garlic', 'anand']",4,19
anand-sesame-chikki-bar,Anand Sesame Chikki Bar,ఆనంద్ తిల చిక్కీ బార్,आनंद तिला चिक्की बार,"['sesame', 'chikki', 'bar', 'anand']",4,20
anand-sesame-laddu,Anand Sesame Laddu,ఆనంద్ తిల లడ్డు,आनंद तिला लड्डू,"['sesame', 'laddu', 'anand']",4,21
anand-sev-laddu,Anand Sev Laddu,ఆనంద్ సేవ్ లడ్డు,आनंद सेव लड्डू,"['sev', 'laddu', 'anand']",4,22
anand-spicy-mixture-hot,Anand Spicy Mixture Hot,అనంద్ స్పైసీ మిక్స్చర్ హాట్,अनंद स्पाइसी मिक्सचर हॉट,"spicy mixture, hot, anand",4,23
anand-spicy-muruku,Anand Spicy Muruku,అనంద్ స్పైసీ మురుకు,अनंद स्पाइसी मुरुकू,"['spicy muruku', 'anand muruku']",4,24
anar-dana,Anar Dana,అనార్ దానా,अनार दाना,"anar, dana, pomegranate seeds",4,25
ani-rice-vermicelli,Ani Rice Vermicelli,అని రైస్ వర్మిసెలీ,अनि राइस वर्मिसेली,"rice vermicelli, ani",4,26
anil-lemon-semia,Anil Lemon Semia,అనిల్ లీమన్ సెమియా,अनिल लेमन सेमिया,"lemon semia, anil",4,27
anil-ragi-vermicelli,Anil Ragi Vermicelli,అనిల్ రాగి వర్మిసెలీ,अनिल रागी वर्मिसेली,"ragi vermicelli, anil",4,28
anil-rice-sevai,Anil Rice Sevai,అనిల్ రైస్ సెవాయి,अनिल राइस सेवाई,"rice sevai, anil rice sevai",4,29
anil-roasted-rava,Anil Roasted Rava,అనిల్ రోస్టెడ్ రవా,अनिल रोस्टेड रवा,"roasted rava, anil roasted rava",4,30
anil-roasted-vermicelli,Anil Roasted Vermicelli,అనిల్ రోస్టెడ్ వర్మిసెలీ,अनिल रोस्टेड वर्मिसेली,"roasted vermicelli, anil roasted vermicelli",5,1
anil-soya-bari,Anil Soya Bari,అనిల్ సోయా బారి,अनिल सोया बारी,"soya bari, anil soya bari",5,2
anil-tamarind-semia,Anil Tamarind Semia,అనిల్ తమరింద్ సెమియా,अनिल तामरिंद सेमिया,"tamarind semia, anil tamarind semia",5,3
anil-tamrind-semia,Anil Tamrind Semia,అనిల్ తమ్రింద్ సెమియా,अनिल टम्रिंद सेमिया,"['tamrind', 'semia']",5,4
anil-wheat-vermicelli,Anil Wheat Vermicelli,అనిల్ వెట్టర్ వర్మిసెలీ,अनिल व्हीट वर्मिसेली,"['wheat', 'vermicelli']",5,5
anjali-silvera-steel,Anjali Silvera Steel,అంజలి సిల్వరా స్టీల్,अंजलि सिल्वरा स्टील,"['silvera', 'steel']",5,6
annapoorna-biryani,Annapoorna Biryani,అన్నపూర్ణ బిర్యానీ,अन्नपूर्ण बिरयानी,['biryani'],5,7
annapoorna-chicken-65,Annapoorna Chicken 65,అన్నపూర్ణ చికెన్ 65,अन्नपूर्ण चिकन 65,"['chicken', '65']",5,8
araku-boomi-coffee,Araku Boomi Coffee,ఆరకు బూమి కాఫీ,आराकू बूमी कॉफी,"['araku', 'boomi', 'coffee']",5,9
archi-puliyodhari-rice-powder,Archi Puliyodhari Rice Powder,అర్చి పులియోధరి బియ్యం పొడి,अर्चि पुलियोधरी चावल पाउडर,"['archi', 'puliyodhari', 'rice', 'powder']",5,10
atta,Wheat Flour (Atta),Godhumapindi (గోధుమపిండి),Atta (आटा),atta|flour|godhumapindi,5,11
atta-biscits,Atta Biscits,అట్ట బిస్కట్స్,अट्टा बिस्किट्स,"['atta', 'biscits']",5,12
atta-multi-grains-flour,Atta Multi Grains Flour,అట్ట మల్టీ గ్రేన్స్ అట్ట,अट्टा मल्टी ग्रेन्स फ्लोर,"['atta', 'multi', 'grains', 'flour']",5,13
atta-noodles,Atta Noodles,అట్ట నూడుల్స్,अट्टा नूडल्स,"['atta', 'noodles']",5,14
ayur-anti-sun-tan-face-pack,Ayur Anti Sun Tan Face Pack,ఏయుర్ అంటీ సన్ టాన్ ఫేస్ పాక్,एयूर एंटी सन टैन फेस पैक,"anti sun tan face pack, ayurvedic face pack",5,15
ayur-cucumber-face-pack-1,Ayur Cucumber Face Pack 1,ఏయుర్ కుకుమ్బర్ ఫేస్ పాక్ 1,एयूर कुकुम्बर फेस पैक 1,"cucumber face pack, ayurvedic face pack",5,16
ayur-deep-cleaning,Ayur Deep Cleaning,ఏయుర్ డీప్ క్లీనింగ్,एयूर डीप क्लीनिंग,"deep cleaning, ayurvedic cleaning",5,17
ayur-rose-face-pack,Ayur Rose Face Pack,ఏయుర్ రోజ్ ఫేస్ పాక్,एयूर रोज फेस पैक,"rose face pack, ayurvedic face pack",5,18
ayur-shahi-ubtan-face-pack,Ayur Shahi Ubtan Face Pack,ఏయర్ షాహి ఉబ్తన్ ఫేస్ పాక్,अयुर शाही उब्तान फेस पैक,"['Ayur Shahi Ubtan', 'Face Pack']",5,19
baba-120,Baba 120,బాబా 120,बाबा 120,"baba 120, ayurvedic product",5,20
baby-mango,Baby Mango,బేబీ మాంగో,बेबी आम,"['baby mango', 'mango']",5,21
badam-coconut,Badam Coconut,బాదం కొబ్బరి,बादाम नारियल,"['badam coconut', 'almond coconut']",5,22
badam-drink,Badam Drink,బాదం డ్రింక్,बादाम ड्रिंक,"['badam drink', 'almond milk']",5,23
badshah-chat-masala,Badshah Chat Masala,బాద్షా చాట్ మసాలా,बादशाह चाट मसाला,"['chat masala', 'badshah chat masala']",5,24
bajji-masala-archi,Bajji Masala Archi,బజ్జి మసాలా అర్చి,बज्जी मसाला अर्ची,"['bajji masala', 'fritter spice']",5,25
bajra-roti,Bajra Roti,బాజ్రా రొట్టి,बाजरा रोटी,"['bajra roti', 'pearl millet roti']",5,26
bajri-khakhara,Bajri Khakhara,బజ్రి ఖఖరా,बाजरी खाखरा,"['bajri khakhara', 'pearl millet biscuit']",5,27
bajriflour,Bajri Flour,బాజ్రీ ఫ్లౌర్,बाजरी आटा,"['bajri flour', 'pearl millet flour']",5,28
bambino-roasted-vermicelli,Bambino Roasted Vermicelli,బాంబినో రోస్టెడ్ వెర్మిసెలీ,बाम्बिनो रोस्टेड वर्मिसेली,"['bambino vermicelli', 'roasted vermicelli']",5,29
bambino-vermicelli,Bambino Vermicelli,బాంబినో వెర్మిసెలీ,बाम्बिनो वर्मिसेली,"['bambino vermicelli', 'vermicelli']",5,30
banana,Banana,బనాన,बनाना,banana,6,1
banana-1,Banana,బనాన,बनाना,banana,6,2
banana-chips,Banana Chips,బనాన చిప్స్,बनाना चिप्स,"banana, chips",6,3
banganaptlli,Bengal Gram Lentil,బెంగాల్ గ్రామ్ లెంటిల్,बंगाल ग्राम लेंटिल,"['bengal gram lentil', 'chickpea lentil']",6,4
banne-butter-chicken-masala,Butter Chicken Masala,బట్టర్ చికెన్ మసాలా,बटर चिकन मसाला,"['butter chicken masala', 'chicken curry']",6,5
banne-chicken-masala,Chicken Masala,చికెన్ మసాలా,चिकन मसाला,"['chicken masala', 'chicken curry']",6,6
banne-haleem-masala,Haleem Masala,హలీం మసాలా,हलीम मसाला,"['haleem masala', 'slow-cooked stew']",6,7
banne-mutton-biryani-masala,Mutton Biryani Masala,మేక బిర్యానీ మసాలా,मटन बिरयानी मसाला,"['mutton biryani masala', 'mutton rice']",6,8
banne-nawab,Banne Nawab,బన్నే నవాబ్,बन्ने नवाब,"['Banne Nawab', 'Indian Spice Mix']",6,9
banne-nawab-vegetable-khorma,Banne Nawab Vegetable Khorma,బన్నే నవాబ్ వెజిటబుల్ ఖోర్మా,बन्ने नवाब वेजिटेबल खोरमा,"['Banne Nawab', 'Vegetable Khorma']",6,10
banne-nawabs-mutton-curry-masala,Banne Nawab's Mutton Curry Masala,బన్నే నవాబ్స్ మటన్ కరీ మసాలా,बन्ने नवाब्स के मटन करी मसाला,"['Banne Nawab', 'Mutton Curry Masala']",6,11
bansi-chora-vadi,Bansi Chora Vadi,బాన్సీ చోర వాడి,बांसी चोरा वड़ी,"['Bansi Chora Vadi', 'Indian Snack']",6,12
bansi-fry-me-wheel,Bansi Fry Me Wheel,బాంసి ఫ్రై మీ వీల్,बांसी फ्राई मी व्हील,"['bansi', 'fry', 'me', 'wheel']",6,13
bansi-idli-rice-10-lb,Bansi Idli Rice 10 lb,బాన్సీ ఇడ్లీ బియ్యం 10 లీబర్స్,बांसी इडली चावल 10 पाउंड,"['Bansi Idli Rice', 'Indian Rice']",6,14
