en,te,hi,keywords,categories,aisle,rack
A1 Cassava,,,a1-cassava,Uncategorized,,
Aachi Garlic Pickle,ఆచ్చి వెల్లుల్లి పచ్చడి,आची लहसुन की अचार,"['garlic pickle', 'aachi pickle', 'velulli pacchadi']",Spices & Masala,1,12
Aachi Ginger Pickle,ఆచ్చి ఆదుకూర పచ్చడి,आची अदरक की अचार,"['ginger pickle', 'aachi pickle', 'adukura pacchadi']",Spices & Masala,1,13
Aachi Idiyappam Powder,ఆచ్చి ఇడియప్పం పావురు,आची इडियप्पम पाउडर,"['idiyappam powder', 'aachi idiyappam', 'idippam powder']",Spices & Masala,1,14
Aachi Kadai Chicken Masala,ఆచ్చి కడాయి చికెన్ మసాలా,आची कढाई चिकन मसाला,"['kadai chicken masala', 'aachi chicken masala', 'chicken masala']",Spices & Masala,1,15
Aachi Mutton Curry Masala,ఆచ్చి మేక కూర మసాలా,आची मटन करी मसाला,"['mutton curry masala', 'aachi mutton masala', 'mutton masala']",Spices & Masala,1,16
Aachi Puttu Powder,ఆచ్చి పుట్టు పొడి,आची पुट्टू पाउडर,"puttu powder, aachi puttu powder",Spices & Masala,1,17
Aachi Rasam Powder,ఆచ్చి రసం పొడి,आची रसम पाउडर,"rasam powder, aachi rasam powder",Spices & Masala,1,18
Aahu Barah,ఆహు బరాహ్,आहू बराह,"aahu barah, barah",Spices & Masala,1,19
Aara Brown Sugar,ఆరా బ్రౌన్ శర్కర,आरा ब्राउन शुगर,"brown sugar, aara brown sugar",Spices & Masala,1,20
Aas Pas Panmasala,ఆస్ పాస్ పన్మసాల,आस पास पनमसाला,"panmasala, aas pas panmasala",Spices & Masala,1,21
Aashirvaad,ఆశిర్వాద్,आशीर्वाद,"['aashirvaad', 'atta']",Spices & Masala,1,22
Aashirvaad 20 lbs,ఆశిర్వాద్ 20 లీబుల్స్,आशीर्वाद 20 पाउंड,"['aashirvaad', '20 lbs', 'atta']",Spices & Masala,1,23
Aashirvaad Multigrain Atta,ఆశిర్వాద్ మల్టీ గ్రేన్ అట్ట,आशीर्वाद मल्टीग्रेन आटा,"['aashirvaad', 'multigrain', 'atta']",Spices & Masala,1,24
Aashirvad Multigrain Atta 10 lbs,ఆశిర్వాద్ మల్టీ గ్రేన్ అట్ట 10 లీబుల్స్,आशीर्वाद मल्टीग्रेन आटा 10 पाउंड,"['aashirvad', 'multigrain', '10 lbs', 'atta']",Spices & Masala,1,25
Aashirvad Select Sharbati Atta Whole Wheat 10 lbs,ఆశిర్వాద్ సెలెక్ట్ షర్బతి అట్ట వ్హోల్ వీట్ 10 లీబుల్స్,आशीर्वाद सेलेक्ट शरबती आटा व्होल व्हीट 10 पाउंड,"['aashirvad', 'select', 'sharbati', 'atta', 'whole wheat', '10 lbs']",Spices & Masala,1,26
Aashirvad Sharbati Whole Wheat Atta,ఆశిర్వాద్ శర్బతి వెల్లుల్లి రొట్టె మిఠ్తా,आशीर्वाद शर्बती गेहूं का आटा,"['whole wheat atta', 'ashirvad sharbati']",Spices & Masala,1,27
Aata,ఆటా,आटा,"['atta', 'wheat flour']",Spices & Masala,1,28
AB Mathura Peda,ఎబి మధుర పెడ,एबी मथुरा पेड़ा,"['mathura peda', 'milk sweets']",Spices & Masala,1,29
Achari Chicken,అచారి చికెన్,अचारी चिकन,"['achari chicken', 'spicy chicken']",Spices & Masala,1,30
Achi Pav Bhaji,అచ్చి పావ్ భజీ,अच्ची पाव भजी,"['pav bhaji', 'mumbai street food']","Atta, Rice & Grains",2,1
Advil 200 mg 2 Tablets,అడ్విల్ 200 ఎంజీ 2 టేబులెట్లు,अडविल 200 एमजी 2 टैबलेट,"['Advil', 'Pain Reliever']","Atta, Rice & Grains",2,2
Agar Agar,అగర్ అగర్,अगर-अगार,"['Agar Agar', 'Vegetable Gelatin']","Atta, Rice & Grains",2,3
Agar Agar China Grass,అగర్ అగర్ చైనా గ్రాస్,अगर-अगार चीना घास,"['Agar Agar', 'China Grass']","Atta, Rice & Grains",2,4
Aged Basmati Rice 10 lb,పాత బాస్మతి బియ్యం 10 లీబర్లు,पुराना बासमती चावल 10 पाउंड,"['Basmati Rice', 'Aged Rice']","Atta, Rice & Grains",2,5
Ajma Dates,అజ్మా దాతువులు,अज्मा की तारीखें,"['Ajma Dates', 'Medjool Dates']","Atta, Rice & Grains",2,6
Ajwain,అజ్వైన్,अजवाइन,"['ajwain', 'carom seeds']","Atta, Rice & Grains",2,7
Ajwain Paratha,అజ్వైన్ పరాఠా,अजवाइन पराठा,"['ajwain paratha', 'carom seeds flatbread']","Atta, Rice & Grains",2,8
Ajwain Salted Biscuits,అజ్వైన్ సల్టెడ్ బిస్కట్స్,अजवाइन नमकीन बिस्कुट,"['ajwain biscuits', 'carom seeds biscuits', 'salted biscuits']","Atta, Rice & Grains",2,10
Ajwain Seeds,అజ్వైన్ బీజాలు,अजवाइन के बीज,"['ajwain seeds', 'carom seeds']","Atta, Rice & Grains",2,11
Al Safa Chicken Nuggets,అల్ సఫా చికెన్ నగెట్స్,अल साफ़ा चिकन नगेट्स,"Chicken Nuggets, Chicken, Snack","Atta, Rice & Grains",2,28
Al Safa Chicken Patties,అల్ సఫా చికెన్ పట్టీస్,अल साफ़ा चिकन पेट्टीज़,"Chicken Patties, Chicken, Snack","Atta, Rice & Grains",2,29
Aleve 1 Caplet,ఏలివ్ 1 క్యాప్లెట్,एलीवे 1 कैपलेट,"['Aleve', 'Pain Reliever']","Atta, Rice & Grains",2,12
Allegro Olive Oil,అలెగ్రో ఆలివ్ ఆయిల్,अलेग्रो ऑलिव ऑयल,"['Allegro', 'Olive Oil']","Atta, Rice & Grains",2,13
Almond,ఆల్మండ్,बादाम,"['Almond', 'Badaam']","Atta, Rice & Grains",2,14
Almond,అల్మండ్,बादाम,"['almond', 'badam']","Atta, Rice & Grains",2,16
Almonds,ఆల్మండ్స్,बादाम,"['Almonds', 'Badaam']","Atta, Rice & Grains",2,15
Aloo Achari,ఆలూ అచారీ,आलू अचारी,"['Aloo', 'Achari']","Atta, Rice & Grains",2,17
Alphonso Cup,అల్ఫోన్సో కప్,अल्फोंसो कप,"['Alphonso Cup', 'Alphonso Container']","Atta, Rice & Grains",2,25
Alphonso Mango,అల్ఫోన్సో మాంగో,अल्फोंसो आम,"['Alphonso Mango', 'Alphonso Mango Fruit']","Atta, Rice & Grains",2,23
Alphonso Mango,అల్ఫోన్సో మాంగో,अल्फोंसो मैंगो,"Alphonso Mango, Mango, Fruit","Atta, Rice & Grains",2,26
Alphonso Mango Ice Cream,అల్ఫోన్సో మాంగో ఐస్ క్రీం,अल्फोंसो आम आइसक्रीम,"['Alphonso Mango Ice Cream', 'Alphonso Mango Dessert']","Atta, Rice & Grains",2,24
Alphonso Mango Pulp,అల్ఫోన్సో మాంగో పల్ప్,अल्फोंसो आम पल्प,"['Alphonso Mango Pulp', 'Alphonso Mango Juice Concentrate']","Atta, Rice & Grains",2,27
Aluminum Wok Kahari,అల్యూమినియం వాక్ కహరీ,अल्यूमिनियम वॉक काहारी,"Aluminum Wok, Wok, Cookware",Frozen Foods,3,1
Amla Muraba,ఆమ్లా మురబా,आमला मुरब्बा,"['amla muraba', 'amla preserve', 'indian jam']",Frozen Foods,3,2
Amma's,అమ్మాస్,अम्मास,"[""amma's"", ""amma's products"", 'indian grocery']",Frozen Foods,3,3
Amma's Iyer Mixture,అమ్మాస్ ఐయర్ మిశ్రమం,अम्मास आयर मिश्रण,"[""amma's iyer mixture"", 'indian spice blend', 'south indian mix']",Frozen Foods,3,4
Amrutanjan,అమృతాన్జన్,अमृतान्जन,"['amrutanjan', 'indian medicine', 'ayurvedic products']",Frozen Foods,3,5
Amul Badam 6 Pack,అముల్ బాదం 6 ప్యాక్,अमूल बादाम 6 पैक,"['amul badam', 'almond 6 pack', 'indian snacks']",Frozen Foods,3,7
Amul Butter,అముల్ బట్టర్,अमूल बटर,"['amul', 'butter']",Frozen Foods,3,8
Amul Cheese,అముల్ చీజ్,अमूल चीज़,"['amul', 'cheese']",Frozen Foods,3,11
Amul Cheese Block,అముల్ చీజ్ బ్లాక్,अमूल चीज़ ब्लॉक,"['amul', 'cheese', 'block']",Frozen Foods,3,12
Amul Cheese Chiplet,అముల్ చీజ్ చిప్లెట్,अमूल चीज़ चिपलेट,"['amul', 'cheese', 'chiplet']",Frozen Foods,3,13
Amul Cheese Slices,అముల్ చీజ్ స్లైస్,अमूल चीज़ स्लाइस,"['amul', 'cheese', 'slices']",Frozen Foods,3,14
Amul Dry Fruit,అముల్ ద్రవ్య పండ్లు,अमूल सूखे फल,"['amul', 'dry', 'fruit']",Frozen Foods,3,15
Amul Malai Paneer 1 kg,అముల్ మలై పానీర్ 1 కిలో,अमूल मलाई पनीर 1 किलो,"['amul', 'malai', 'paneer']",Frozen Foods,3,16
Amul Masti,అముల్ మాస్టీ,अमूल मस्ती,"['amul', 'masti']",Frozen Foods,3,17
Amul Paneer,అముల్ పానీర్,अमूल पनीर,"['paneer', 'amul', 'paneer cheese']",Frozen Foods,3,18
Amul Product,అముల్ ఉత్పత్తి,अमूल उत्पाद,"['amul', 'product']",Frozen Foods,3,6
Amul Pure Ghee,అముల్ పూర్ గ్హీ,अमूल पूरा घी,"['ghee', 'pure ghee', 'amul']",Frozen Foods,3,19
Amul Salted Butter,అముల్ సల్టెడ్ బట్టర్,अमूल नमकीन बटर,"['amul', 'salted', 'butter']",Frozen Foods,3,9
Amul Shrikhand Mango,అముల్ శ్రీఖండ్ మెంగో,अमूल श्रीखंड मैंगो,"['shrikhand', 'mango', 'amul']",Frozen Foods,3,20
Amul Shrikhand Saffron,అముల్ శ్రీఖండ్ కెసర,अमूल श्रीखंड केसर,"['shrikhand', 'saffron', 'kesar', 'amul']",Frozen Foods,3,21
Amul Shrikhand Saffron,అముల్ శ్రీఖండ్ కెసర,अमूल श्रीखंड केसर,"['shrikhand', 'saffron', 'kesar', 'amul']",Frozen Foods,3,22
Amul Unsalted Butter,అముల్ అన్‌సల్టెడ్ బట్టర్,अमूल नमकीन रहित बटर,"['amul', 'unsalted', 'butter']",Frozen Foods,3,10
Anand Banana Chips Salted 400g,అనంద బ్యానానా చిప్స్ సల్టెడ్ 400గ్రా,अनंद बैनाना चिप्स नमकीन 400ग्राम,"['anand', 'banana', 'chips', 'salted']",Frozen Foods,3,23
Anand Bhog Andhra Murruku 5.99oz,అనంద భోగ్ ఆంధ్ర మురుకు 5.99ఔన్స్,अनंद भोग आंध्रा मुरुकु 5.99ऑन्स,"['anand', 'bhog', 'andhra', 'murruku']",Frozen Foods,3,24
Anand Bhog Chennai Murukku 200g,అనంద భోగ్ చెన్నై మురుక్కు 200గ్రా,अनंद भोग चेन्नई मुरुकु 200ग्राम,"['anand', 'bhog', 'chennai', 'murukku']",Frozen Foods,3,25
Anand Bhogh Banana Chips 300gm S Snacks,అనంద భోఘ్ బ్యానానా చిప్స్ 300గ్రా ఎస్ స్నాక్స్,अनंद भोग बैनाना चिप्स 300ग्राम एस स्नैक्स,"['anand', 'bhogh', 'banana', 'chips', 'snacks']",Frozen Foods,3,26
Anand Bhogh Dry Mix Sweets,అనంద్ భోగ్ ద్రియ్ మిక్స్ స్వీట్స్,अनंद भोग ड्राई मिक्स स्वीट्स,anand bhogh dry mix sweets,Frozen Foods,3,27
Anand Bhogh Lightly Salted Banana Chips 300g,అనంద్ భోగ్ లైట్లీ సాల్టెడ్ బ్యానానా చిప్స్ 300గ్,अनंद भोग लाइटली साल्टेड बैनाना चिप्स 300ग्राम,anand bhogh banana chips lightly salted,Frozen Foods,3,28
Anand Bhogh Spicy Chakri 200g,అనంద్ భోగ్ స్పైసీ చక్రి 200గ్,अनंद भोग स्पाइसी चक्री 200ग्राम,anand bhogh spicy chakri,Frozen Foods,3,29
Anand Bhogh Thenkulai 200g,అనంద్ భోగ్ తెంకులై 200గ్,अनंद भोग ठेंकुलाई 200ग्राम,anand bhogh thenkulai,Frozen Foods,3,30
Anand Bhujia,అనంద్ భూజియా,अनंद भूजिया,anand bhujia,Snacks & Sweets,4,1
Anand Bitter Gourd Chips,అనంద కాకార చిప్స్,अनंद बिटर गourd चिप्स,"['bitter gourd chips', 'anand', 'snacks']",Snacks & Sweets,4,2
Anand Bombay Mixture 400g,అనంద బాంబే మిశ్రమం 400గ్రా,अनंद बॉम्बे मिश्रण 400ग्रा,"['bombay mixture', 'anand', 'snacks']",Snacks & Sweets,4,3
Anand Boondi Masala,అనంద బూంది మసాలా,अनंद बूंदी मसाला,"['boondi masala', 'anand', 'spices']",Snacks & Sweets,4,4
Anand Curd Chilli,అనంద పాల చిల్లి,अनंद दही चिल्ली,"['curd chilli', 'anand', 'chutneys']",Snacks & Sweets,4,5
Anand Dry Whole Chilli Wrinkled,అనంద ద్రవ్య పూర్తి చిల్లి కుంటలు,अनंद सूखा पूरा चिल्ली कुंटल,"['dry whole chilli', 'wrinkled chilli', 'anand', 'spices']",Snacks & Sweets,4,6
Anand Frynus Bhindi Cut,అనంద్ ఫ్రైనస్ భిండి కట్,अनंद फ्रायनस भिंडी कट,"bhindi, cut, frynus",Snacks & Sweets,4,7
Anand Fryums Star Color,అనంద్ ఫ్రైమ్స్ స్టార్ కలర్,अनंद फ्राईम्स स्टार कलर,"fryums, star, color",Snacks & Sweets,4,8
Anand Instant Rava Dosa Mix,అనంద్ ఇన్‌స్టంట్ రవ దోస మిక్స్,अनंद इंस्टेंट रवा डोसा मिक्स,"rava, dosa, mix",Snacks & Sweets,4,9
Anand Kachori,అనంద్ కచోరి,अनंद कचोरी,kachori,Snacks & Sweets,4,10
Anand Kerala Mixture,అనంద్ కేరళ మిక్స్చర్,अनंद केरला मिक्सचर,"kerala, mixture",Snacks & Sweets,4,11
Anand Muruku Mini,249 అనంద మురుకు మీనీ,249 आनंद मुरुकु मिनी,"['muruku', '249 anand', 'mini']",Snacks & Sweets,4,12
Anand Nelakadale Laddu,ఆనంద్ నెలకడలే లడ్డు,आनंद नेलकडले लड्डू,"['nelakadale laddu', 'anand laddu']",Snacks & Sweets,4,13
Anand Nelakadle Chikki Bar,ఆనంద్ నెలకడలే చిక్కీ బార్,आनंद नेलकडले चिक्की बार,"['nelakadle chikki bar', 'anand chikki']",Snacks & Sweets,4,14
Anand Pappadam,ఆనంద్ పప్పడం,आनंद पपडम,"['pappadam', 'anand pappadam']",Snacks & Sweets,4,15
Anand Peanut Chikki,ఆనంద్ పెంట చిక్కీ,आनंद पीनट चिक्की,"['peanut chikki', 'anand peanut chikki']",Snacks & Sweets,4,16
Anand Potato Chips Masala,ఆనంద్ పాలకూర చిప్స్ మసాలా,आनंद आलू चिप्स मसाला,"['potato chips masala', 'anand potato chips']",Snacks & Sweets,4,17
Anand Ragi Flour Regular,ఆనంద్ రాగి మిఠాయి పిండి,आनंद रागी आटा रेगुलर,"['ragi flour', 'anand', 'regular']",Snacks & Sweets,4,18
Anand Sandige Garlic,ఆనంద్ సందీగె గార్లిక్,आनंद संदिगे गार्लिक,"['sandige', 'garlic', 'anand']",Snacks & Sweets,4,19
Anand Sesame Chikki Bar,ఆనంద్ తిల చిక్కీ బార్,आनंद तिला चिक्की बार,"['sesame', 'chikki', 'bar', 'anand']",Snacks & Sweets,4,20
Anand Sesame Laddu,ఆనంద్ తిల లడ్డు,आनंद तिला लड्डू,"['sesame', 'laddu', 'anand']",Snacks & Sweets,4,21
Anand Sev Laddu,ఆనంద్ సేవ్ లడ్డు,आनंद सेव लड्डू,"['sev', 'laddu', 'anand']",Snacks & Sweets,4,22
Anand Spicy Mixture Hot,అనంద్ స్పైసీ మిక్స్చర్ హాట్,अनंद स्पाइसी मिक्सचर हॉट,"spicy mixture, hot, anand",Snacks & Sweets,4,23
Anand Spicy Muruku,అనంద్ స్పైసీ మురుకు,अनंद स्पाइसी मुरुकू,"['spicy muruku', 'anand muruku']",Snacks & Sweets,4,24
Anar Dana,అనార్ దానా,अनार दाना,"anar, dana, pomegranate seeds",Snacks & Sweets,4,25
Ani Rice Vermicelli,అని రైస్ వర్మిసెలీ,अनि राइस वर्मिसेली,"rice vermicelli, ani",Snacks & Sweets,4,26
Anil Lemon Semia,అనిల్ లీమన్ సెమియా,अनिल लेमन सेमिया,"lemon semia, anil",Snacks & Sweets,4,27
Anil Ragi Vermicelli,అనిల్ రాగి వర్మిసెలీ,अनिल रागी वर्मिसेली,"ragi vermicelli, anil",Snacks & Sweets,4,28
Anil Rice Sevai,అనిల్ రైస్ సెవాయి,अनिल राइस सेवाई,"rice sevai, anil rice sevai",Snacks & Sweets,4,29
Anil Roasted Rava,అనిల్ రోస్టెడ్ రవా,अनिल रोस्टेड रवा,"roasted rava, anil roasted rava",Snacks & Sweets,4,30
Anil Roasted Vermicelli,అనిల్ రోస్టెడ్ వర్మిసెలీ,अनिल रोस्टेड वर्मिसेली,"roasted vermicelli, anil roasted vermicelli","Dairy, Oils & Ghee",5,1
Anil Soya Bari,అనిల్ సోయా బారి,अनिल सोया बारी,"soya bari, anil soya bari","Dairy, Oils & Ghee",5,2
Anil Tamarind Semia,అనిల్ తమరింద్ సెమియా,अनिल तामरिंद सेमिया,"tamarind semia, anil tamarind semia","Dairy, Oils & Ghee",5,3
Anil Tamrind Semia,అనిల్ తమ్రింద్ సెమియా,अनिल टम्रिंद सेमिया,"['tamrind', 'semia']","Dairy, Oils & Ghee",5,4
Anil Wheat Vermicelli,అనిల్ వెట్టర్ వర్మిసెలీ,अनिल व्हीट वर्मिसेली,"['wheat', 'vermicelli']","Dairy, Oils & Ghee",5,5
Anjali Silvera Steel,అంజలి సిల్వరా స్టీల్,अंजलि सिल्वरा स्टील,"['silvera', 'steel']","Dairy, Oils & Ghee",5,6
Annapoorna Biryani,అన్నపూర్ణ బిర్యానీ,अन्नपूर्ण बिरयानी,['biryani'],"Dairy, Oils & Ghee",5,7
Annapoorna Chicken 65,అన్నపూర్ణ చికెన్ 65,अन्नपूर्ण चिकन 65,"['chicken', '65']","Dairy, Oils & Ghee",5,8
Araku Boomi Coffee,ఆరకు బూమి కాఫీ,आराकू बूमी कॉफी,"['araku', 'boomi', 'coffee']","Dairy, Oils & Ghee",5,9
Archi Puliyodhari Rice Powder,అర్చి పులియోధరి బియ్యం పొడి,अर्चि पुलियोधरी चावल पाउडर,"['archi', 'puliyodhari', 'rice', 'powder']","Dairy, Oils & Ghee",5,10
Asafoetida,అసాఫోటీడా,असाफ़ेटिडा,"Asafoetida, Hing, Spice","Atta, Rice & Grains",2,30
Atta Biscits,అట్ట బిస్కట్స్,अट्टा बिस्किट्स,"['atta', 'biscits']","Dairy, Oils & Ghee",5,12
Atta Multi Grains Flour,అట్ట మల్టీ గ్రేన్స్ అట్ట,अट्टा मल्टी ग्रेन्स फ्लोर,"['atta', 'multi', 'grains', 'flour']","Dairy, Oils & Ghee",5,13
Atta Noodles,అట్ట నూడుల్స్,अट्टा नूडल्स,"['atta', 'noodles']","Dairy, Oils & Ghee",5,14
Ayur Anti Sun Tan Face Pack,ఏయుర్ అంటీ సన్ టాన్ ఫేస్ పాక్,एयूर एंटी सन टैन फेस पैक,"anti sun tan face pack, ayurvedic face pack","Dairy, Oils & Ghee",5,15
Ayur Cucumber Face Pack 1,ఏయుర్ కుకుమ్బర్ ఫేస్ పాక్ 1,एयूर कुकुम्बर फेस पैक 1,"cucumber face pack, ayurvedic face pack","Dairy, Oils & Ghee",5,16
Ayur Deep Cleaning,ఏయుర్ డీప్ క్లీనింగ్,एयूर डीप क्लीनिंग,"deep cleaning, ayurvedic cleaning","Dairy, Oils & Ghee",5,17
Ayur Rose Face Pack,ఏయుర్ రోజ్ ఫేస్ పాక్,एयूर रोज फेस पैक,"rose face pack, ayurvedic face pack","Dairy, Oils & Ghee",5,18
Ayur Shahi Ubtan Face Pack,ఏయర్ షాహి ఉబ్తన్ ఫేస్ పాక్,अयुर शाही उब्तान फेस पैक,"['Ayur Shahi Ubtan', 'Face Pack']","Dairy, Oils & Ghee",5,19
Baba 120,బాబా 120,बाबा 120,"baba 120, ayurvedic product","Dairy, Oils & Ghee",5,20
Baby Mango,బేబీ మాంగో,बेबी आम,"['baby mango', 'mango']","Dairy, Oils & Ghee",5,21
Badam Coconut,బాదం కొబ్బరి,बादाम नारियल,"['badam coconut', 'almond coconut']","Dairy, Oils & Ghee",5,22
Badam Drink,బాదం డ్రింక్,बादाम ड्रिंक,"['badam drink', 'almond milk']","Dairy, Oils & Ghee",5,23
Badshah Chat Masala,బాద్షా చాట్ మసాలా,बादशाह चाट मसाला,"['chat masala', 'badshah chat masala']","Dairy, Oils & Ghee",5,24
Bajji Masala Archi,బజ్జి మసాలా అర్చి,बज्जी मसाला अर्ची,"['bajji masala', 'fritter spice']","Dairy, Oils & Ghee",5,25
Bajra Roti,బాజ్రా రొట్టి,बाजरा रोटी,"['bajra roti', 'pearl millet roti']","Dairy, Oils & Ghee",5,26
Bajri Flour,బాజ్రీ ఫ్లౌర్,बाजरी आटा,"['bajri flour', 'pearl millet flour']","Dairy, Oils & Ghee",5,28
Bajri Khakhara,బజ్రి ఖఖరా,बाजरी खाखरा,"['bajri khakhara', 'pearl millet biscuit']","Dairy, Oils & Ghee",5,27
Baked Potato Samosa,బేక్ చేసిన బఠానీ సమోసా,बेक किए हुए आलू समोसा,"['baked samosa', 'potato samosa', 'snack']",Uncategorized,,
Bambino Roasted Vermicelli,బాంబినో రోస్టెడ్ వెర్మిసెలీ,बाम्बिनो रोस्टेड वर्मिसेली,"['bambino vermicelli', 'roasted vermicelli']","Dairy, Oils & Ghee",5,29
Bambino Vermicelli,బాంబినో వెర్మిసెలీ,बाम्बिनो वर्मिसेली,"['bambino vermicelli', 'vermicelli']","Dairy, Oils & Ghee",5,30
Banana,బనాన,बनाना,banana,"Pickles, Sauces & Instant",6,1
Banana,బనాన,बनाना,banana,"Pickles, Sauces & Instant",6,2
Banana Chips,బనాన చిప్స్,बनाना चिप्स,"banana, chips","Pickles, Sauces & Instant",6,3
Banne Nawab,బన్నే నవాబ్,बन्ने नवाब,"['Banne Nawab', 'Indian Spice Mix']","Pickles, Sauces & Instant",6,9
Banne Nawab Vegetable Khorma,బన్నే నవాబ్ వెజిటబుల్ ఖోర్మా,बन्ने नवाब वेजिटेबल खोरमा,"['Banne Nawab', 'Vegetable Khorma']","Pickles, Sauces & Instant",6,10
Banne Nawab's Mutton Curry Masala,బన్నే నవాబ్స్ మటన్ కరీ మసాలా,बन्ने नवाब्स के मटन करी मसाला,"['Banne Nawab', 'Mutton Curry Masala']","Pickles, Sauces & Instant",6,11
Bansi Chora Vadi,బాన్సీ చోర వాడి,बांसी चोरा वड़ी,"['Bansi Chora Vadi', 'Indian Snack']","Pickles, Sauces & Instant",6,12
Bansi Fry Me Wheel,బాంసి ఫ్రై మీ వీల్,बांसी फ्राई मी व्हील,"['bansi', 'fry', 'me', 'wheel']","Pickles, Sauces & Instant",6,13
Bansi Idli Rice 10 lb,బాన్సీ ఇడ్లీ బియ్యం 10 లీబర్స్,बांसी इडली चावल 10 पाउंड,"['Bansi Idli Rice', 'Indian Rice']","Pickles, Sauces & Instant",6,14
Bansi Kolhapuri Murmura,బాన్సి కోలాపూర్ ముర్ముర,बांसी कोल्हापुरी मुरमुरा,"['kolhapuri murmura', 'bansi murmura']","Pickles, Sauces & Instant",6,15
Bansi Moong Vadi,బాన్సి మొంగ్ వాడి,बांसी मूंग वड़ी,"['moong vadi', 'bansi vadi']","Pickles, Sauces & Instant",6,16
Bansi Murmura,బాన్సి ముర్ముర,बांसी मुरमुरा,"['bansi murmura', 'murmura']","Pickles, Sauces & Instant",6,17
Bansi Phool Makhana,బాన్సి ఫూల్ మఖానా,बांसी फूल मखाना,"['phool makhana', 'bansi makhana']","Pickles, Sauces & Instant",6,18
Bansi Poha Thick 4lb,బాన్సి పోహా బాగా బరువు 4 లీబర్లు,बांसी पोहा मोटा 4 पाउंड,"['thick poha', 'bansi poha']","Pickles, Sauces & Instant",6,19
Bansi Rajgira Ladoo,బాన్సి రాజ్గిరా లాడూ,बांसी राजगीरा लड्डू,"rajgira ladoo, bansi ladoo","Pickles, Sauces & Instant",6,20
Bansi Sev Batata Puri Kit,బాన్సి సేవ్ బటాటా పురి కిట్,बांसी सेव बटाटा पूरी किट,"sev batata puri, bansi kit","Pickles, Sauces & Instant",6,21
Bansi Sona Massori,బాన్సి సోనా మసోరి,बांसी सोना मसूरी,"sona massori, bansi massori","Pickles, Sauces & Instant",6,22
Barar's Paneer,బారార్స్ పానీర్,बारार्स पनीर,"paneer, barar's paneer","Pickles, Sauces & Instant",6,23
Barley Flour,బార్లీ ఫ్లౌర్,बार्ली फ्लोर,barley flour,"Pickles, Sauces & Instant",6,24
Barnyard Millet,బార్న్యార్డ్ మిల్లెట్,बार्नयार्ड मिलेट,"['barnyard millet', 'millets', 'healthy grains']","Pickles, Sauces & Instant",6,25
Basmati Rice (10 lbs),బాస్మతి చారు,बासमती चावल,"['basmati rice', 'long grain rice', 'indian rice']","Pickles, Sauces & Instant",6,26
Batata Vada,బటాటా వడ,बटाटा वड़ा,"['batata vada', 'potato vada', 'indian street food']","Pickles, Sauces & Instant",6,28
BBQ Sticks,బిబీక్యూ స్టిక్స్,बीबीक्यू स्टिक्स,"bbq sticks, barbecue sticks","Pickles, Sauces & Instant",6,29
